,dv,heat,year,region,country,rain,region_id
538,5.84,0.0,2013,11,PHL,0.7888294,PHL_11
539,8.14,0.0,2013,12,PHL,0.4334789,PHL_12
540,6.94,0.0,2013,13,PHL,0.6535558,PHL_13
541,5.32,0.0,2013,14,PHL,0.4360997,PHL_14
542,4.34,0.08333333,2013,15,PHL,-0.02493287,PHL_15
543,7.44,0.0,2013,16,PHL,0.5627573,PHL_16
544,2.67,0.0,2013,17,PHL,0.5920661,PHL_17
545,3.42,0.3333333,2017,1,PHL,0.4051411,PHL_1
546,7.34,0.3333333,2017,2,PHL,0.5676164,PHL_2
547,2.82,0.08333333,2017,3,PHL,0.5154501,PHL_3
548,2.04,0.0,2017,4,PHL,0.471498,PHL_4
549,9.49,0.0,2017,5,PHL,0.6591221,PHL_5
550,3.29,0.0,2017,6,PHL,0.4638758,PHL_6
551,5.02,0.0,2017,7,PHL,0.2365542,PHL_7
552,6.99,0.0,2017,8,PHL,0.8264966,PHL_8
553,5.62,0.0,2017,9,PHL,0.7495787,PHL_9
554,4.23,0.0,2017,10,PHL,1.081102,PHL_10
555,7.29,0.0,2017,11,PHL,0.9532179,PHL_11
556,4.46,0.0,2017,12,PHL,0.8864069,PHL_12
557,3.52,0.0,2017,13,PHL,1.023499,PHL_13
558,6.12,0.0,2017,14,PHL,0.932213,PHL_14
559,4.45,0.3333333,2017,15,PHL,0.4751783,PHL_15
560,13.92,0.0,2017,16,PHL,1.13104,PHL_16
561,1.6,0.0,2017,17,PHL,0.9856797,PHL_17
570,7.84,0.08333333,2017,1,SEN,-0.2301065,SEN_1
571,7.84,0.3333333,2017,2,SEN,-0.3611253,SEN_2
572,12.05,0.25,2017,3,SEN,-0.054158,SEN_3
573,12.57,0.5,2017,4,SEN,-0.2799949,SEN_4
574,5.9,0.1666667,2018,1,SEN,-0.5813082,SEN_1
575,4.47,0.1666667,2018,2,SEN,-0.673048,SEN_2
576,7.04,0.25,2018,3,SEN,-0.6846478,SEN_3
577,4.1,0.1666667,2018,4,SEN,-0.5831385,SEN_4
578,6.3,0.0,2019,1,SEN,-0.1292041,SEN_1
579,3.35,0.08333333,2019,2,SEN,-0.07426874,SEN_2
580,5.24,0.1666667,2019,3,SEN,-0.09601607,SEN_3
581,7.44,0.1666667,2019,4,SEN,-0.1250688,SEN_4
669,26.17,0.1666667,2006,1,UGA,-0.1492273,UGA_1
670,42.46,0.08333333,2006,2,UGA,-0.384705,UGA_2
671,36.3,0.25,2006,3,UGA,-0.3250981,UGA_3
672,34.37,0.3333333,2006,4,UGA,-0.09971955,UGA_4
673,21.24,0.0,2011,1,UGA,0.1160227,UGA_1
674,29.25,0.0,2011,2,UGA,-0.1392273,UGA_2
675,33.28,0.5,2011,3,UGA,0.01252018,UGA_3
676,28.45,0.4166667,2011,4,UGA,0.05995776,UGA_4
677,16.57,0.0,2016,1,UGA,0.9412286,UGA_1
678,24.01,0.0,2016,2,UGA,0.5776765,UGA_2
679,25.93,0.0,2016,3,UGA,0.05154749,UGA_3
680,23.08,0.0,2016,4,UGA,0.2407891,UGA_4
685,24.53,0.0,2007,1,ZMB,0.1485016,ZMB_1
686,43.65,0.0,2007,2,ZMB,0.2290492,ZMB_2
687,25.62,0.0,2007,3,ZMB,0.149609,ZMB_3
688,46.36,0.0,2007,4,ZMB,0.239224,ZMB_4
689,32.68,0.0,2007,5,ZMB,-0.1425979,ZMB_5
690,32.62,0.0,2007,7,ZMB,0.2427465,ZMB_7
691,31.13,0.0,2007,8,ZMB,-0.09384518,ZMB_8
692,27.43,0.0,2007,9,ZMB,0.1470741,ZMB_9
693,17.25,0.0,2013,1,ZMB,0.1960055,ZMB_1
694,19.55,0.0,2013,2,ZMB,0.01687118,ZMB_2
695,18.16,0.0,2013,3,ZMB,-0.03625124,ZMB_3
696,24.33,0.0,2013,4,ZMB,0.1052076,ZMB_4
