time,threshold,height2m,share_earth_in_heatwave,scenario,year
2015-12-31,35.0,2.0,0.0541988683127572,6.8,2015
2016-12-31,35.0,2.0,0.054849382716049395,6.8,2016
2017-12-31,35.0,2.0,0.05569758230452674,6.8,2017
2018-12-31,35.0,2.0,0.05584110082304527,6.8,2018
2019-12-31,35.0,2.0,0.056269187242798356,6.8,2019
2020-12-31,35.0,2.0,0.05649619341563785,6.8,2020
2021-12-31,35.0,2.0,0.056952314814814824,6.8,2021
2022-12-31,35.0,2.0,0.05754228395061728,6.8,2022
2023-12-31,35.0,2.0,0.05821548353909465,6.8,2023
2024-12-31,35.0,2.0,0.058225102880658436,6.8,2024
2025-12-31,35.0,2.0,0.06020416666666667,6.8,2025
2026-12-31,35.0,2.0,0.060362088477366245,6.8,2026
2027-12-31,35.0,2.0,0.06035329218106995,6.8,2027
2028-12-31,35.0,2.0,0.060853497942386835,6.8,2028
2029-12-31,35.0,2.0,0.0617445987654321,6.8,2029
2030-12-31,35.0,2.0,0.06162078189300411,6.8,2030
2031-12-31,35.0,2.0,0.06314125514403292,6.8,2031
2032-12-31,35.0,2.0,0.06321224279835391,6.8,2032
2033-12-31,35.0,2.0,0.06270931069958847,6.8,2033
2034-12-31,35.0,2.0,0.06258636831275721,6.8,2034
2035-12-31,35.0,2.0,0.0642514403292181,6.8,2035
2036-12-31,35.0,2.0,0.06516466049382717,6.8,2036
2037-12-31,35.0,2.0,0.06439305555555556,6.8,2037
2038-12-31,35.0,2.0,0.06552680041152263,6.8,2038
2039-12-31,35.0,2.0,0.06570457818930041,6.8,2039
2040-12-31,35.0,2.0,0.0680681069958848,6.8,2040
2041-12-31,35.0,2.0,0.06759953703703704,6.8,2041
2042-12-31,35.0,2.0,0.0673352366255144,6.8,2042
2043-12-31,35.0,2.0,0.06849295267489712,6.8,2043
2044-12-31,35.0,2.0,0.07034917695473251,6.8,2044
2045-12-31,35.0,2.0,0.06980663580246914,6.8,2045
2046-12-31,35.0,2.0,0.07040704732510288,6.8,2046
2047-12-31,35.0,2.0,0.07112865226337449,6.8,2047
2048-12-31,35.0,2.0,0.07152752057613167,6.8,2048
2049-12-31,35.0,2.0,0.07332294238683128,6.8,2049
2050-12-31,35.0,2.0,0.0735155864197531,6.8,2050
2051-12-31,35.0,2.0,0.07304562757201645,6.8,2051
2052-12-31,35.0,2.0,0.07436826131687244,6.8,2052
2053-12-31,35.0,2.0,0.07519675925925927,6.8,2053
2054-12-31,35.0,2.0,0.07662283950617284,6.8,2054
2055-12-31,35.0,2.0,0.07656887860082305,6.8,2055
2056-12-31,35.0,2.0,0.07685817901234569,6.8,2056
2057-12-31,35.0,2.0,0.07818276748971194,6.8,2057
2058-12-31,35.0,2.0,0.07915992798353909,6.8,2058
2059-12-31,35.0,2.0,0.0800874485596708,6.8,2059
2060-12-31,35.0,2.0,0.08075648148148147,6.8,2060
2061-12-31,35.0,2.0,0.08033858024691358,6.8,2061
2062-12-31,35.0,2.0,0.08216615226337448,6.8,2062
2063-12-31,35.0,2.0,0.08231820987654322,6.8,2063
2064-12-31,35.0,2.0,0.08298240740740741,6.8,2064
2065-12-31,35.0,2.0,0.08328173868312756,6.8,2065
2066-12-31,35.0,2.0,0.08555848765432099,6.8,2066
2067-12-31,35.0,2.0,0.08575951646090535,6.8,2067
2068-12-31,35.0,2.0,0.08665200617283951,6.8,2068
2069-12-31,35.0,2.0,0.0864059670781893,6.8,2069
2070-12-31,35.0,2.0,0.08805967078189302,6.8,2070
2071-12-31,35.0,2.0,0.08833605967078188,6.8,2071
2072-12-31,35.0,2.0,0.08810776748971193,6.8,2072
2073-12-31,35.0,2.0,0.08972155349794238,6.8,2073
2074-12-31,35.0,2.0,0.09066430041152262,6.8,2074
2075-12-31,35.0,2.0,0.09072757201646091,6.8,2075
2076-12-31,35.0,2.0,0.09143055555555557,6.8,2076
2077-12-31,35.0,2.0,0.09162247942386831,6.8,2077
2078-12-31,35.0,2.0,0.09209562757201645,6.8,2078
2079-12-31,35.0,2.0,0.09380879629629629,6.8,2079
2080-12-31,35.0,2.0,0.09491378600823046,6.8,2080
2081-12-31,35.0,2.0,0.09544619341563787,6.8,2081
2082-12-31,35.0,2.0,0.09596784979423868,6.8,2082
2083-12-31,35.0,2.0,0.09669398148148149,6.8,2083
2084-12-31,35.0,2.0,0.09768117283950616,6.8,2084
2085-12-31,35.0,2.0,0.09793513374485596,6.8,2085
2086-12-31,35.0,2.0,0.09887340534979423,6.8,2086
2087-12-31,35.0,2.0,0.09869583333333333,6.8,2087
2088-12-31,35.0,2.0,0.09973626543209875,6.8,2088
2089-12-31,35.0,2.0,0.10101954732510288,6.8,2089
2090-12-31,35.0,2.0,0.10138287037037036,6.8,2090
2091-12-31,35.0,2.0,0.10291028806584361,6.8,2091
2092-12-31,35.0,2.0,0.10269063786008233,6.8,2092
2093-12-31,35.0,2.0,0.10375462962962961,6.8,2093
2094-12-31,35.0,2.0,0.10469490740740743,6.8,2094
2095-12-31,35.0,2.0,0.10560411522633746,6.8,2095
2096-12-31,35.0,2.0,0.10651131687242799,6.8,2096
2097-12-31,35.0,2.0,0.10698251028806587,6.8,2097
2098-12-31,35.0,2.0,0.1080252057613169,6.8,2098
2099-12-31,35.0,2.0,0.10940704732510288,6.8,2099
2100-12-31,35.0,2.0,0.1039747427983539,6.8,2100
