dv,heat,year,region,country,rain,region_id
22.69,0.583333333333333,2010,1,COL,-0.302462814206977,COL_1
29.22,0.25,2010,2,COL,-0.366761013701876,COL_2
27.0,0.416666666666667,2010,3,COL,-0.131149167721042,COL_3
29.47,0.416666666666667,2010,4,COL,0.0109376952403863,COL_4
27.22,0.25,2010,5,COL,0.133293725615622,COL_5
30.72,0.666666666666667,2010,6,COL,-0.363508812914906,COL_6
20.39,0.25,2015,1,COL,-0.591560085450909,COL_1
23.03,0.5,2015,2,COL,-0.58866044120443,COL_2
20.39,0.416666666666667,2015,3,COL,-0.583342192488002,COL_3
24.84,0.25,2015,4,COL,-0.424166206190748,COL_4
22.59,0.25,2015,5,COL,-0.356643306753633,COL_5
25.74,0.416666666666667,2015,6,COL,-0.15370383098315,COL_6
10.81,0.0,2016,1,ETH,-0.112252567961702,ETH_1
6.03,0.0,2016,2,ETH,-0.323572243004636,ETH_2
13.44,0.0,2016,3,ETH,-0.305298494740146,ETH_3
20.19,0.0,2016,4,ETH,-0.267412633497951,ETH_4
4.55,0.0,2016,5,ETH,0.0853508851955599,ETH_5
12.49,0.0,2016,6,ETH,0.0934284145270015,ETH_6
11.41,0.0833333333333333,2016,7,ETH,-0.280616163011089,ETH_7
18.88,0.166666666666667,2016,8,ETH,-0.447621876565901,ETH_8
10.17,0.0,2016,10,ETH,-0.361065507629303,ETH_10
11.05,0.0,2016,11,ETH,-0.224276781377321,ETH_11
5.47,0.166666666666667,2015,1,GTM,-0.317382945665759,GTM_1
7.64,0.166666666666667,2015,2,GTM,-0.035493970488219,GTM_2
6.15,0.0833333333333333,2015,3,GTM,-0.0126998053681808,GTM_3
7.42,0.166666666666667,2015,4,GTM,-0.0022258381729622,GTM_4
8.24,0.166666666666667,2015,6,GTM,0.10607529116277,GTM_6
4.05,0.166666666666667,2015,7,GTM,-0.102868367972825,GTM_7
5.12,0.166666666666667,2015,8,GTM,-0.0316651679311993,GTM_8
8.75,0.0,2011,1,HND,0.12496693917725,HND_1
8.74,0.0,2011,2,HND,-0.0975081092302156,HND_2
9.44,0.0833333333333333,2011,3,HND,0.212255696982453,HND_3
9.25,0.0833333333333333,2011,5,HND,0.0637198871435604,HND_5
5.73,0.0,2011,6,HND,-0.284675651650407,HND_6
8.77,0.0,2011,7,HND,-0.295489921843946,HND_7
8.98,0.0,2011,8,HND,0.0241432659428838,HND_8
7.51,0.0,2011,10,HND,0.0448959415627419,HND_10
8.61,0.0833333333333333,2011,12,HND,-0.211378988811488,HND_12
7.48,0.0833333333333333,2011,13,HND,-0.171490214230336,HND_13
8.42,0.0833333333333333,2011,14,HND,0.202174455905651,HND_14
9.36,0.0,2011,15,HND,0.0056001711151848,HND_15
6.49,0.0,2011,17,HND,-0.0611323902676598,HND_17
9.78,0.0,2011,18,HND,0.189808654802976,HND_18
11.95,0.0,2000,1,HTI,-0.430209677381767,HTI_1
9.01,0.0,2000,2,HTI,-0.426866202935621,HTI_2
8.54,0.0,2000,3,HTI,-0.750025010069638,HTI_3
9.52,0.0,2000,4,HTI,-0.638551951536131,HTI_4
16.48,0.0,2000,5,HTI,-0.947991369505242,HTI_5
13.79,0.0,2000,6,HTI,-0.3601100432413,HTI_6
8.16,0.0,2000,7,HTI,-0.62913348919874,HTI_7
14.0,0.0,2000,8,HTI,-0.617033251124402,HTI_8
7.24,0.0,2000,9,HTI,-1.2531579754787,HTI_9
11.66,0.0,2006,1,HTI,0.422969924933471,HTI_1
7.49,0.0,2006,2,HTI,0.393506570867229,HTI_2
11.35,0.0,2006,3,HTI,0.548550762802129,HTI_3
11.47,0.0,2006,4,HTI,0.59699230966462,HTI_4
19.68,0.0,2006,5,HTI,0.540869603123371,HTI_5
9.27,0.0,2006,6,HTI,0.301387310325295,HTI_6
9.32,0.0833333333333333,2006,7,HTI,0.395323217602686,HTI_7
11.61,0.0833333333333333,2006,8,HTI,0.399131844616536,HTI_8
8.0,0.0,2006,9,HTI,0.553797609057112,HTI_9
11.19,0.0,2012,1,HTI,0.0279434407234857,HTI_1
7.48,0.0,2012,2,HTI,0.150970820299184,HTI_2
8.0,0.0,2012,3,HTI,0.0477462553115363,HTI_3
8.8,0.0,2012,4,HTI,0.0270292410738764,HTI_4
11.93,0.0,2012,5,HTI,0.119464273147645,HTI_5
11.96,0.0,2012,6,HTI,0.0617796677363614,HTI_6
7.49,0.0,2012,7,HTI,0.216393652542764,HTI_7
9.6,0.0,2012,8,HTI,0.156420559952607,HTI_8
8.1,0.0,2012,9,HTI,0.0790123435856361,HTI_9
12.29,0.333333333333333,2016,1,HTI,0.60025085389307,HTI_1
6.86,0.166666666666667,2016,2,HTI,0.389211316141514,HTI_2
10.86,0.25,2016,3,HTI,0.646077987875894,HTI_3
10.08,0.25,2016,4,HTI,0.641801272870457,HTI_4
10.03,0.333333333333333,2016,5,HTI,0.628580085034716,HTI_5
9.12,0.333333333333333,2016,6,HTI,0.680498121565617,HTI_6
8.3,0.166666666666667,2016,7,HTI,0.157850887416507,HTI_7
8.42,0.166666666666667,2016,8,HTI,0.142252067622239,HTI_8
8.76,0.25,2016,9,HTI,0.303649933362416,HTI_9
24.69,0.0,2006,2,IND,0.209292354211618,IND_2
21.91,0.166666666666667,2006,3,IND,-0.258701275143626,IND_3
34.89,0.25,2006,4,IND,-0.106854984847421,IND_4
8.41,0.0,2006,5,IND,0.920050067447774,IND_5
13.46,0.0833333333333333,2006,6,IND,-0.0622953099069742,IND_6
17.71,0.0833333333333333,2006,7,IND,-0.265694345667429,IND_7
4.27,0.0833333333333333,2006,8,IND,-0.291845508241461,IND_8
6.86,0.0833333333333333,2006,9,IND,-0.117220842988242,IND_9
12.28,0.0,2006,10,IND,0.520109717125683,IND_10
9.93,0.0833333333333333,2006,11,IND,-0.036954879546716,IND_11
24.84,0.0833333333333333,2006,12,IND,0.008246303497209,IND_12
16.62,0.0,2006,13,IND,0.136131220077325,IND_13
20.84,0.166666666666667,2006,14,IND,-0.580680926206127,IND_14
11.37,0.166666666666667,2006,15,IND,-0.61459566948079,IND_15
13.08,0.0833333333333333,2006,16,IND,-0.448740004724101,IND_16
8.27,0.25,2006,17,IND,-0.33164554038759,IND_17
16.63,0.0833333333333333,2006,18,IND,0.0168884236801451,IND_18
17.24,0.0,2006,19,IND,-0.171217644476445,IND_19
21.46,0.0833333333333333,2006,20,IND,-0.331791633598369,IND_20
8.15,0.166666666666667,2006,21,IND,0.0088288855145373,IND_21
19.81,0.0833333333333333,2006,22,IND,0.222470221324197,IND_22
20.31,0.166666666666667,2006,23,IND,-0.298464019947893,IND_23
18.9,0.166666666666667,2006,24,IND,-0.681823376727015,IND_24
10.86,0.0833333333333333,2006,30,IND,-0.444054798889076,IND_30
26.49,0.25,2006,34,IND,0.138145843332689,IND_34
28.87,0.0833333333333333,2006,35,IND,-0.619383680609162,IND_35
8.09,0.0,2007,1,JOR,0.0596306660246298,JOR_1
9.18,0.0,2007,2,JOR,0.132554455480465,JOR_2
9.19,0.0,2007,3,JOR,-0.129374727440712,JOR_3
8.13,0.0833333333333333,2012,1,JOR,-0.339162337069135,JOR_1
6.29,0.166666666666667,2012,2,JOR,-0.311292106103464,JOR_2
4.85,0.0833333333333333,2012,3,JOR,-0.135575083329428,JOR_3
10.27,0.0833333333333333,2017,1,JOR,-0.508471135098976,JOR_1
5.29,0.0833333333333333,2017,2,JOR,-0.672356880509048,JOR_2
6.01,0.0833333333333333,2017,3,JOR,-0.345782705749859,JOR_3
16.8,0.0,2003,1,KEN,0.227602251665142,KEN_1
23.43,0.0,2003,2,KEN,0.159557094501827,KEN_2
15.14,0.0833333333333333,2003,3,KEN,0.478086426042961,KEN_3
19.78,0.0,2003,4,KEN,0.299033260393843,KEN_4
35.17,0.0,2003,5,KEN,-0.012376085127657,KEN_5
26.22,0.0,2003,6,KEN,-0.0470299251749677,KEN_6
41.8,0.0,2003,7,KEN,0.0166328458861369,KEN_7
23.54,0.0,2003,8,KEN,0.316234666496908,KEN_8
15.36,0.0833333333333333,2008,1,KEN,-0.211107275200423,KEN_1
18.0,0.0,2008,3,KEN,-0.37547245008659,KEN_3
28.03,0.0833333333333333,2008,7,KEN,0.18895878908281,KEN_7
22.87,0.0833333333333333,2008,8,KEN,-0.27207111024699,KEN_8
12.29,0.0,2000,1,KHM,0.608818526172507,KHM_1
16.18,0.0,2000,2,KHM,0.302096822315367,KHM_2
18.65,0.0,2000,3,KHM,0.585095131907353,KHM_3
9.85,0.0,2000,4,KHM,0.425731810030768,KHM_4
13.37,0.0,2000,5,KHM,0.666951614356215,KHM_5
19.51,0.0,2000,6,KHM,0.289856575613019,KHM_6
11.64,0.0,2000,7,KHM,0.484013735331454,KHM_7
18.41,0.0,2000,8,KHM,0.289627700539101,KHM_8
