dv,heat,year,region,country,rain,DM_urban_p,ED_educ_years_mean,ED_litt_p,EI_internet_week_p,EI_news_week_p,EI_radio_week_p,EI_tv_week_p,DP_decide_money_p,DP_earn_more_equal_p,WK_working_paid_p,DP_owns_house_p,DP_owns_land_p,DP_decide_health_p,DP_decide_large_purchase_p,DP_decide_visits_p,DP_decide_contraception_p,DP_decide_no_contraception_p,DV_phys_partner_12m_p,DV_phys_12m_p,WL_wealth_median,DM_age_diff_mean,DM_age_diff_10plus_p,EI_women_elec_p,region_id
11.05,0.0,2016,11,ETH,-0.224276781377321,71.35,5.29,54.54,13.18,5.77,20.02,51.46,35.03,42.11,70.51,28.66,18.26,18.54,18.33,,37.36,33.28,11.25,11.05,46.45,7.08,22.1,74.01,ETH_11
5.47,0.166666666666667,2015,1,GTM,-0.317382945665759,81.64,8.37,95.6,,61.58,77.39,87.74,56.88,31.15,95.45,23.8,10.72,29.9,21.41,,,,6.88,5.47,76.81,2.79,12.68,98.83,GTM_1
7.64,0.166666666666667,2015,2,GTM,-0.035493970488219,23.39,4.41,68.95,,32.57,62.67,35.59,53.33,25.97,90.56,41.14,19.89,12.45,18.38,,,,9.34,7.64,27.13,4.19,9.15,58.32,GTM_2
6.15,0.0833333333333333,2015,3,GTM,-0.0126998053681808,33.0,6.23,85.02,,49.19,63.34,68.47,51.94,33.07,89.5,33.43,13.99,22.09,19.4,,,,7.39,6.15,63.5,4.21,14.44,84.62,GTM_3
7.42,0.166666666666667,2015,4,GTM,-0.0022258381729622,32.46,5.99,86.11,,47.5,68.24,75.43,49.93,27.96,87.54,32.1,14.23,21.12,20.23,,,,9.7,7.42,59.41,3.98,13.53,89.91,GTM_4
8.24,0.166666666666667,2015,6,GTM,0.10607529116277,39.18,5.73,84.3,,45.8,71.99,70.53,48.33,25.78,90.72,27.96,14.13,18.33,17.79,,,,9.38,8.24,56.35,3.12,7.77,94.67,GTM_6
4.05,0.166666666666667,2015,7,GTM,-0.102868367972825,24.63,4.24,68.38,,25.61,64.37,51.37,43.38,31.68,86.9,36.41,20.94,12.0,15.48,,,,4.83,4.05,43.83,3.33,9.0,82.57,GTM_7
5.12,0.166666666666667,2015,8,GTM,-0.0316651679311993,33.48,5.78,84.02,,43.8,62.23,54.5,47.39,28.13,92.86,41.24,18.92,15.22,13.23,,,,6.66,5.12,41.93,5.02,12.68,74.27,GTM_8
8.75,0.0,2011,1,HND,0.12496693917725,63.86,8.06,94.88,,24.79,63.39,75.98,60.69,28.67,85.87,34.83,12.36,28.14,27.33,,,,9.68,8.75,66.4,5.22,29.07,,HND_1
8.74,0.0,2011,2,HND,-0.0975081092302156,41.53,7.23,91.4,,22.12,65.48,67.94,57.87,37.84,81.36,40.1,13.79,23.19,30.21,,,,8.54,8.74,60.32,5.14,18.45,,HND_2
9.44,0.0833333333333333,2011,3,HND,0.212255696982453,45.9,7.26,93.02,,21.12,73.5,75.74,56.95,28.64,81.27,38.39,14.58,25.47,25.25,,,,10.48,9.44,59.84,4.69,18.04,,HND_3
9.25,0.0833333333333333,2011,5,HND,0.0637198871435604,74.03,8.06,95.97,,39.25,63.55,87.36,59.12,33.45,86.08,28.56,8.43,34.37,29.86,,,,9.95,9.25,69.47,3.9,18.91,,HND_5
5.73,0.0,2011,6,HND,-0.284675651650407,36.58,6.77,92.04,,25.4,69.21,60.22,63.87,35.29,77.85,37.14,8.7,26.45,29.8,,,,6.7,5.73,42.61,4.41,15.22,,HND_6
8.77,0.0,2011,7,HND,-0.295489921843946,32.72,6.76,89.8,,21.45,79.99,57.3,65.57,32.42,81.09,35.65,12.96,24.65,19.18,,,,11.56,8.77,40.87,4.8,18.35,,HND_7
8.98,0.0,2011,8,HND,0.0241432659428838,77.34,8.98,96.28,,40.0,66.92,84.21,65.12,34.57,89.86,30.04,10.65,38.57,33.26,,,,10.51,8.98,68.72,4.0,15.14,,HND_8
7.51,0.0,2011,10,HND,0.0448959415627419,21.96,5.97,87.23,,15.73,84.26,38.7,45.73,34.93,69.88,43.12,18.21,20.76,18.26,,,,8.87,7.51,29.51,4.79,19.4,,HND_10
8.61,0.0833333333333333,2011,12,HND,-0.211378988811488,37.56,6.64,89.93,,23.89,81.88,56.03,64.15,26.48,68.6,39.43,20.85,23.11,17.51,,,,11.01,8.61,37.13,4.26,13.61,,HND_12
7.48,0.0833333333333333,2011,13,HND,-0.171490214230336,11.36,5.1,82.69,,10.7,83.1,37.36,48.7,27.38,75.66,41.7,13.9,14.91,14.63,,,,8.64,7.48,29.51,4.84,16.04,,HND_13
8.42,0.0833333333333333,2011,14,HND,0.202174455905651,31.51,5.95,87.09,,16.25,66.72,66.66,54.76,29.32,75.49,39.97,14.14,16.66,19.37,,,,10.17,8.42,51.16,4.05,23.6,,HND_14
9.36,0.0,2011,15,HND,0.0056001711151848,38.53,6.6,89.97,,15.05,71.76,56.41,63.47,31.14,72.35,43.03,15.86,19.61,23.92,,,,9.87,9.36,45.99,4.83,13.64,,HND_15
6.49,0.0,2011,17,HND,-0.0611323902676598,39.88,7.46,93.59,,23.06,70.59,69.07,66.15,35.94,76.41,37.62,9.38,31.22,33.09,,,,7.91,6.49,48.08,4.48,19.46,,HND_17
9.78,0.0,2011,18,HND,0.189808654802976,49.75,7.02,92.79,,25.79,73.78,70.7,65.87,29.4,80.78,36.64,8.6,27.42,25.86,,,,11.34,9.78,60.3,4.94,25.98,,HND_18
11.95,0.0,2000,1,HTI,-0.430209677381767,76.49,5.63,71.45,,33.22,78.07,56.3,85.62,,89.08,,,18.46,14.84,38.02,,,19.1,11.95,41.32,5.83,27.0,75.75,HTI_1
9.01,0.0,2000,2,HTI,-0.426866202935621,11.24,2.7,48.83,,13.78,45.12,5.97,81.04,,57.18,,,18.84,15.22,38.45,,,11.57,9.01,22.9,5.93,32.88,9.7,HTI_2
8.54,0.0,2000,3,HTI,-0.750025010069638,29.91,3.45,54.24,,28.94,55.03,17.88,78.41,,87.21,,,19.06,13.29,30.97,,,13.01,8.54,18.62,5.47,15.54,26.35,HTI_3
9.52,0.0,2000,4,HTI,-0.638551951536131,28.97,3.81,55.26,,26.91,51.74,3.08,79.18,,78.92,,,23.69,18.93,41.87,,,14.72,9.52,17.26,7.25,33.88,11.02,HTI_4
16.48,0.0,2000,5,HTI,-0.947991369505242,14.93,2.14,39.05,,12.97,48.4,10.25,83.69,,86.41,,,29.18,21.78,40.51,,,20.76,16.48,17.26,6.39,29.8,15.05,HTI_5
13.79,0.0,2000,6,HTI,-0.3601100432413,14.77,2.76,46.27,,14.76,36.44,8.85,73.76,,87.52,,,23.98,17.41,41.28,,,15.86,13.79,17.26,7.25,25.4,14.65,HTI_6
8.16,0.0,2000,7,HTI,-0.62913348919874,23.77,3.26,52.22,,26.71,54.14,14.19,80.56,,74.67,,,17.21,15.49,38.68,,,11.41,8.16,22.9,6.28,29.72,18.49,HTI_7
14.0,0.0,2000,8,HTI,-0.617033251124402,22.28,3.03,48.84,,24.1,44.07,5.59,86.3,,80.73,,,19.9,15.26,38.14,,,19.74,14.0,17.26,5.8,23.16,10.37,HTI_8
7.24,0.0,2000,9,HTI,-1.2531579754787,19.73,3.08,50.77,,25.7,49.68,6.37,84.39,,81.66,,,22.28,17.94,39.81,,,10.09,7.24,17.26,5.42,20.98,11.88,HTI_9
11.66,0.0,2006,1,HTI,0.422969924933471,65.0,6.59,75.29,,33.11,82.91,54.65,51.43,30.11,73.65,,,25.49,20.73,,,,12.2,11.66,34.51,5.64,17.99,70.78,HTI_1
7.49,0.0,2006,2,HTI,0.393506570867229,21.15,3.95,57.79,,16.64,63.55,13.05,41.99,29.07,58.92,,,17.79,19.52,,,,9.4,7.49,12.87,5.82,22.04,18.12,HTI_2
11.35,0.0,2006,3,HTI,0.548550762802129,51.49,4.7,66.63,,22.74,76.12,23.72,43.15,31.43,65.48,,,24.65,20.06,,,,9.36,11.35,14.05,4.75,19.13,29.7,HTI_3
11.47,0.0,2006,4,HTI,0.59699230966462,48.06,4.15,60.65,,18.83,69.61,4.04,42.79,32.32,62.08,,,19.02,17.57,,,,10.84,11.47,13.11,5.46,20.29,10.23,HTI_4
19.68,0.0,2006,5,HTI,0.540869603123371,37.18,3.95,56.07,,16.13,70.79,17.0,49.04,30.72,64.07,,,36.66,30.73,,,,17.24,19.68,12.79,5.05,17.23,25.89,HTI_5
9.27,0.0,2006,6,HTI,0.301387310325295,17.33,2.72,41.99,,15.89,48.73,5.34,56.14,36.97,65.38,,,35.72,29.09,,,,10.47,9.27,4.08,5.32,18.8,8.22,HTI_6
9.32,0.0833333333333333,2006,7,HTI,0.395323217602686,22.74,4.87,67.15,,14.4,82.72,23.85,40.93,20.63,61.51,,,16.98,15.46,,,,6.14,9.32,15.93,6.41,18.16,24.96,HTI_7
11.61,0.0833333333333333,2006,8,HTI,0.399131844616536,21.38,3.74,54.95,,15.93,60.45,10.28,36.87,28.45,60.89,,,16.18,15.4,,,,10.15,11.61,10.05,6.52,20.85,15.28,HTI_8
8.0,0.0,2006,9,HTI,0.553797609057112,32.81,4.12,60.97,,20.87,68.99,10.22,58.02,26.85,67.93,,,30.93,25.49,,,,8.32,8.0,10.43,5.13,10.0,10.9,HTI_9
11.19,0.0,2012,1,HTI,0.0279434407234857,67.39,7.39,80.33,,23.45,76.43,60.04,58.15,28.33,86.72,24.45,21.83,38.69,42.49,,,,11.97,11.19,43.28,5.9,18.52,71.23,HTI_1
7.48,0.0,2012,2,HTI,0.150970820299184,20.52,4.68,64.43,,15.56,60.05,14.81,44.26,34.08,72.41,36.77,39.09,35.28,33.9,,,,5.83,7.48,21.94,6.22,22.87,14.14,HTI_2
8.0,0.0,2012,3,HTI,0.0477462553115363,47.42,6.34,75.65,,20.89,73.36,35.39,49.41,32.51,82.36,27.75,30.2,30.68,39.24,,,,7.55,8.0,28.84,5.63,21.76,44.18,HTI_3
8.8,0.0,2012,4,HTI,0.0270292410738764,44.73,5.15,68.55,,20.62,63.88,17.18,50.95,34.29,78.25,33.41,35.7,29.85,42.49,,,,8.93,8.8,21.09,5.51,14.6,18.85,HTI_4
11.93,0.0,2012,5,HTI,0.119464273147645,31.21,5.19,67.02,,15.48,64.36,29.3,43.98,32.78,74.01,34.25,35.87,27.9,41.08,,,,10.38,11.93,20.04,5.51,16.4,34.97,HTI_5
11.96,0.0,2012,6,HTI,0.0617796677363614,20.81,4.1,55.88,,19.43,64.21,12.54,47.66,38.56,67.28,44.69,43.99,30.22,37.9,,,,12.23,11.96,14.61,6.15,20.59,15.03,HTI_6
7.49,0.0,2012,7,HTI,0.216393652542764,19.63,6.1,76.88,,19.85,63.94,26.85,51.46,30.65,83.22,24.88,25.47,29.61,36.35,,,,6.46,7.49,25.68,6.49,24.47,30.25,HTI_7
9.6,0.0,2012,8,HTI,0.156420559952607,21.2,4.81,65.26,,12.42,55.61,12.74,55.58,29.57,77.68,34.45,34.95,35.16,40.35,,,,9.4,9.6,16.95,6.43,25.15,14.45,HTI_8
8.1,0.0,2012,9,HTI,0.0790123435856361,34.47,5.64,73.09,,16.57,61.18,12.61,47.0,30.46,75.72,28.9,32.39,30.32,38.0,,,,7.12,8.1,20.23,5.49,17.45,13.76,HTI_9
12.29,0.333333333333333,2016,1,HTI,0.60025085389307,66.38,8.11,81.99,29.82,21.45,71.23,52.2,50.8,29.32,58.0,23.51,19.91,33.04,31.21,,33.55,66.15,11.82,12.29,41.22,5.36,23.85,70.54,HTI_1
6.86,0.166666666666667,2016,2,HTI,0.389211316141514,16.36,6.61,78.51,21.83,16.03,54.71,19.53,40.38,34.45,41.54,31.23,30.86,20.43,21.65,,23.88,68.76,6.32,6.86,19.95,5.98,21.55,24.94,HTI_2
10.86,0.25,2016,3,HTI,0.646077987875894,45.67,6.9,79.92,20.15,17.41,61.45,27.43,47.45,31.45,52.52,24.5,24.76,30.67,30.85,,36.34,66.19,8.22,10.86,25.56,5.71,18.26,45.65,HTI_3
10.08,0.25,2016,4,HTI,0.641801272870457,53.07,6.47,77.61,12.66,16.45,63.35,26.76,39.78,36.51,54.14,30.36,24.51,28.18,30.33,,40.56,63.19,7.35,10.08,22.5,5.16,14.36,44.79,HTI_4
10.03,0.333333333333333,2016,5,HTI,0.628580085034716,40.2,5.85,70.02,15.61,12.33,56.07,18.2,50.87,32.86,42.04,29.31,29.58,31.26,28.54,,35.28,66.42,10.26,10.03,17.43,5.94,19.07,35.37,HTI_5
9.12,0.333333333333333,2016,6,HTI,0.680498121565617,25.5,5.56,65.6,10.55,12.82,51.35,21.72,39.54,37.93,53.84,39.35,31.87,31.9,28.66,,27.71,59.79,10.7,9.12,15.49,6.37,21.69,43.49,HTI_6
8.3,0.166666666666667,2016,7,HTI,0.157850887416507,21.16,6.71,80.01,17.12,18.06,61.44,15.03,33.6,28.07,43.03,26.66,34.36,19.52,16.65,,23.59,65.55,8.85,8.3,19.95,6.25,23.87,22.72,HTI_7
8.42,0.166666666666667,2016,8,HTI,0.142252067622239,23.14,6.34,76.73,14.82,13.26,62.46,11.36,35.86,31.26,41.07,34.08,36.3,20.03,18.85,,27.52,68.37,7.77,8.42,12.97,6.46,25.5,14.25,HTI_8
8.76,0.25,2016,9,HTI,0.303649933362416,27.77,6.7,80.92,14.54,15.46,55.83,10.76,38.7,32.32,40.77,31.08,27.96,21.7,21.35,,32.7,70.35,5.92,8.76,17.43,5.06,18.61,17.16,HTI_9
24.69,0.0,2006,2,IND,0.209292354211618,34.61,4.42,49.6,,21.66,19.84,74.39,21.7,16.65,79.11,,,19.7,13.57,,,,25.19,24.69,35.43,6.25,11.84,91.66,IND_2
21.91,0.166666666666667,2006,3,IND,-0.258701275143626,18.77,5.61,62.97,,19.79,35.4,44.45,23.59,34.14,73.93,,,16.5,5.94,,,,24.22,21.91,20.4,8.1,34.56,40.84,IND_3
34.89,0.25,2006,4,IND,-0.106854984847421,18.77,3.12,37.02,,10.65,23.9,25.31,24.75,21.59,24.1,,,19.98,8.63,,,,36.21,34.89,14.05,5.61,12.29,33.58,IND_4
8.41,0.0,2006,5,IND,0.920050067447774,56.27,8.61,83.6,,57.05,41.77,87.35,40.91,23.34,80.08,,,32.77,13.3,,,,10.02,8.41,69.67,5.51,15.28,97.57,IND_5
13.46,0.0833333333333333,2006,6,IND,-0.0622953099069742,43.32,5.73,63.81,,31.27,23.46,62.02,26.22,23.21,57.28,,,33.37,7.7,,,,14.23,13.46,52.65,4.14,3.88,91.75,IND_6
17.71,0.0833333333333333,2006,7,IND,-0.265694345667429,30.27,5.68,60.42,,24.99,19.04,62.08,17.49,20.41,41.91,,,39.75,4.31,,,,17.61,17.71,46.89,4.45,6.56,92.97,IND_7
4.27,0.0833333333333333,2006,8,IND,-0.291845508241461,10.64,7.64,79.51,,32.53,34.47,72.36,22.96,24.35,34.32,,,31.86,9.05,,,,4.63,4.27,50.6,4.93,6.57,98.59,IND_8
6.86,0.0833333333333333,2006,9,IND,-0.117220842988242,29.31,5.56,53.85,,24.44,58.55,64.49,50.88,19.06,41.77,,,16.04,6.8,,,,7.0,6.86,41.4,5.2,15.31,95.24,IND_9
12.28,0.0,2006,10,IND,0.520109717125683,40.61,5.82,59.73,,27.19,32.43,69.5,24.73,26.04,71.28,,,19.92,12.89,,,,12.21,12.28,40.01,7.35,29.92,91.23,IND_10
9.93,0.0833333333333333,2006,11,IND,-0.036954879546716,34.75,9.46,92.96,,59.64,41.54,73.04,30.88,21.34,88.88,,,29.21,13.01,,,,10.38,9.93,58.12,6.51,26.43,91.49,IND_11
24.84,0.0833333333333333,2006,12,IND,0.008246303497209,27.03,3.93,44.55,,16.02,22.84,43.46,16.49,18.97,41.14,,,20.72,4.46,,,,25.2,24.84,19.21,4.73,6.1,75.27,IND_12
16.62,0.0,2006,13,IND,0.136131220077325,50.77,6.81,70.31,,39.27,33.7,69.4,19.07,28.97,65.76,,,33.85,5.46,,,,18.19,16.62,50.29,6.49,18.87,86.29,IND_13
20.84,0.166666666666667,2006,14,IND,-0.580680926206127,33.21,7.32,72.62,,44.13,79.68,71.58,17.56,26.09,66.1,,,17.61,2.88,,,,24.64,20.84,36.13,4.91,20.8,88.44,IND_14
11.37,0.166666666666667,2006,15,IND,-0.61459566948079,27.51,5.71,69.45,,30.3,19.19,49.41,18.86,28.96,52.27,,,23.75,15.96,,,,10.8,11.37,33.66,5.45,19.07,73.59,IND_15
13.08,0.0833333333333333,2006,16,IND,-0.448740004724101,56.39,7.66,94.0,,66.77,36.7,79.08,10.01,48.4,48.04,,,33.69,14.55,,,,15.99,13.08,52.55,4.53,15.84,93.64,IND_16
8.27,0.25,2006,17,IND,-0.33164554038759,29.45,6.24,75.16,,27.04,21.85,53.3,11.5,35.12,37.02,,,20.11,9.78,,,,9.62,8.27,38.04,6.63,21.16,84.19,IND_17
16.63,0.0833333333333333,2006,18,IND,0.0168884236801451,17.62,4.58,52.16,,11.54,22.35,52.09,16.0,18.11,54.28,,,38.13,6.7,,,,17.85,16.63,16.55,6.46,23.57,50.8,IND_18
17.24,0.0,2006,19,IND,-0.171217644476445,36.85,6.69,68.72,,31.9,19.0,80.44,28.13,22.55,68.3,,,46.71,6.31,,,,17.7,17.24,59.43,4.0,5.04,97.27,IND_19
21.46,0.0833333333333333,2006,20,IND,-0.331791633598369,29.31,3.15,36.19,,18.24,13.93,40.35,25.86,18.44,33.08,,,24.86,5.4,,,,21.75,21.46,27.75,4.44,5.9,69.49,IND_20
8.15,0.166666666666667,2006,21,IND,0.0088288855145373,21.29,5.73,72.3,,18.08,13.65,67.04,41.71,30.08,60.7,,,43.88,6.02,,,,7.43,8.15,50.8,5.01,12.31,93.58,IND_21
19.81,0.0833333333333333,2006,22,IND,0.222470221324197,48.01,6.83,69.37,,27.49,46.79,81.43,25.16,22.22,78.09,,,29.12,21.31,,,,20.86,19.81,38.62,6.58,22.18,90.7,IND_22
20.31,0.166666666666667,2006,23,IND,-0.298464019947893,30.72,4.72,58.79,,18.47,33.72,51.57,35.36,14.13,75.09,,,32.59,9.11,,,,20.88,20.31,29.35,7.29,23.97,52.43,IND_23
18.9,0.166666666666667,2006,24,IND,-0.681823376727015,25.85,4.19,45.84,,14.88,29.22,41.41,30.31,24.66,31.61,,,26.88,5.7,,,,20.08,18.9,19.7,4.61,7.02,50.04,IND_24
10.86,0.0833333333333333,2006,30,IND,-0.444054798889076,92.43,8.68,77.26,,47.03,47.76,89.5,38.85,29.37,92.98,,,35.73,6.05,,,,11.53,10.86,71.93,4.38,5.91,99.45,IND_30
26.49,0.25,2006,34,IND,0.138145843332689,28.74,4.42,52.66,,10.06,23.95,54.49,26.99,33.84,24.14,,,27.93,19.64,,,,30.97,26.49,39.89,6.2,23.61,78.34,IND_34
28.87,0.0833333333333333,2006,35,IND,-0.619383680609162,17.62,5.61,68.54,,18.85,23.83,67.19,27.13,25.33,62.36,,,26.23,8.89,,,,29.16,28.87,32.99,7.41,31.04,70.32,IND_35
8.09,0.0,2007,1,JOR,0.0596306660246298,54.71,6.55,76.85,,23.15,19.88,57.1,,,,,,26.2,6.08,,,,7.17,8.09,87.15,3.46,5.08,58.59,JOR_1
9.18,0.0,2007,2,JOR,0.132554455480465,41.8,5.87,73.13,,15.18,14.76,53.32,,,,,,27.26,6.75,,,,9.11,9.18,81.51,3.17,4.81,55.51,JOR_2
9.19,0.0,2007,3,JOR,-0.129374727440712,29.81,5.19,62.66,,16.99,15.29,49.27,,,,,,23.5,5.75,,,,7.91,9.19,83.81,3.14,3.56,52.21,JOR_3
8.13,0.0833333333333333,2012,1,JOR,-0.339162337069135,51.91,6.34,73.61,,21.81,23.05,55.15,,,,4.22,3.28,24.87,11.72,,,,7.13,8.13,87.15,3.46,4.65,57.3,JOR_1
6.29,0.166666666666667,2012,2,JOR,-0.311292106103464,41.7,6.36,71.65,,15.73,16.8,55.3,,,,3.37,5.28,19.04,10.2,,,,5.62,6.29,83.81,3.1,4.5,57.74,JOR_2
4.85,0.0833333333333333,2012,3,JOR,-0.135575083329428,34.68,6.18,70.74,,18.57,17.77,54.96,,,,2.59,4.27,18.77,6.33,,,,4.69,4.85,87.15,3.18,2.76,57.34,JOR_3
10.27,0.0833333333333333,2017,1,JOR,-0.508471135098976,57.63,7.18,58.7,46.5,14.05,17.77,45.11,,,,7.74,4.31,15.01,7.12,,5.39,7.28,9.29,10.27,88.69,3.5,4.51,,JOR_1
5.29,0.0833333333333333,2017,2,JOR,-0.672356880509048,49.77,6.57,56.49,41.6,10.25,9.17,45.3,,,,4.22,4.32,16.07,6.29,,6.91,5.71,4.24,5.29,82.25,3.33,3.97,,JOR_2
6.01,0.0833333333333333,2017,3,JOR,-0.345782705749859,44.18,7.0,56.73,40.02,7.36,11.91,40.99,,,,7.97,6.08,9.13,3.91,,7.85,5.82,5.17,6.01,88.69,3.13,3.52,,JOR_3
16.8,0.0,2003,1,KEN,0.227602251665142,100.0,9.86,91.83,,49.82,89.42,72.07,64.09,,85.0,,,45.88,10.55,83.45,,,29.05,16.8,56.35,6.02,16.69,82.5,KEN_1
23.43,0.0,2003,2,KEN,0.159557094501827,13.9,8.64,91.11,,25.69,84.51,35.47,41.51,,58.64,,,59.59,13.37,88.89,,,34.92,23.43,17.35,5.98,19.11,22.14,KEN_2
15.14,0.0833333333333333,2003,3,KEN,0.478086426042961,45.08,5.39,65.56,,21.05,64.77,26.25,57.33,,68.08,,,23.64,11.27,64.79,,,20.19,15.14,16.01,9.74,36.69,21.64,KEN_3
19.78,0.0,2003,4,KEN,0.299033260393843,8.7,7.02,81.58,,16.46,72.09,25.49,52.85,,59.33,,,50.25,10.78,80.98,,,29.3,19.78,12.49,6.54,20.64,5.85,KEN_4
35.17,0.0,2003,5,KEN,-0.012376085127657,11.8,6.89,79.79,,14.92,74.1,15.74,57.14,,34.33,,,23.37,14.56,71.29,,,46.91,35.17,9.66,8.27,17.88,6.09,KEN_5
26.22,0.0,2003,6,KEN,-0.0470299251749677,19.99,6.58,73.23,,23.67,71.5,26.72,45.27,,57.5,,,45.69,11.74,89.67,,,36.06,26.22,10.87,7.32,21.52,12.76,KEN_6
41.8,0.0,2003,7,KEN,0.0166328458861369,9.57,6.68,77.4,,15.81,82.5,14.24,66.48,,40.23,,,26.82,10.78,80.56,,,60.11,41.8,9.66,7.28,18.99,1.54,KEN_7
23.54,0.0,2003,8,KEN,0.316234666496908,20.51,0.46,6.37,,1.28,12.66,1.77,66.87,,59.92,,,8.19,3.94,74.16,,,28.71,23.54,3.7,12.45,41.3,3.38,KEN_8
15.36,0.0833333333333333,2008,1,KEN,-0.211107275200423,100.0,11.23,95.85,,59.12,87.75,86.14,39.3,27.9,96.52,,,26.05,10.69,80.63,,,20.95,15.36,59.41,5.36,9.28,89.29,KEN_1
18.0,0.0,2008,3,KEN,-0.37547245008659,55.1,6.42,72.4,,25.75,65.17,34.62,47.71,22.61,82.8,,,22.41,11.31,75.11,,,18.24,18.0,22.88,8.01,28.67,30.36,KEN_3
28.03,0.0833333333333333,2008,7,KEN,0.18895878908281,11.24,7.49,84.38,,17.4,80.44,23.43,48.62,31.33,69.84,,,36.16,14.2,79.48,,,33.89,28.03,14.05,7.02,17.05,5.62,KEN_7
22.87,0.0833333333333333,2008,8,KEN,-0.27207111024699,19.46,1.82,21.24,,6.95,25.69,9.48,36.21,41.07,74.99,,,11.86,8.96,90.77,,,26.77,22.87,4.08,12.56,61.82,13.73,KEN_8
12.29,0.0,2000,1,KHM,0.608818526172507,16.86,2.63,51.04,,7.91,21.54,31.87,40.25,,51.55,,,,,,,,12.29,12.29,26.9,3.54,22.21,18.77,KHM_1
16.18,0.0,2000,2,KHM,0.302096822315367,3.84,2.82,60.39,,7.29,45.01,52.39,63.22,,29.68,,,,,,,,16.18,16.18,26.9,3.1,5.01,7.77,KHM_2
18.65,0.0,2000,3,KHM,0.585095131907353,13.93,2.72,68.73,,9.89,53.62,64.48,26.92,,31.81,,,,,,,,18.65,18.65,20.42,2.64,15.15,10.74,KHM_3
9.85,0.0,2000,4,KHM,0.425731810030768,6.75,2.4,53.35,,8.08,32.99,56.05,46.83,,10.01,,,,,,,,9.85,9.85,20.42,2.79,13.38,4.51,KHM_4
13.37,0.0,2000,5,KHM,0.666951614356215,11.5,3.02,68.75,,9.87,41.63,22.64,44.35,,19.48,,,,,,,,13.37,13.37,20.42,2.68,6.02,11.19,KHM_5
19.51,0.0,2000,6,KHM,0.289856575613019,7.3,3.44,69.95,,7.42,36.59,60.97,24.84,,61.63,,,,,,,,19.51,19.51,26.9,2.71,18.65,9.19,KHM_6
11.64,0.0,2000,7,KHM,0.484013735331454,34.34,4.08,79.81,,15.83,39.78,32.15,71.35,,25.19,,,,,,,,11.64,11.64,23.11,3.91,8.84,23.77,KHM_7
18.41,0.0,2000,8,KHM,0.289627700539101,57.67,6.4,91.0,,40.62,60.36,89.24,67.9,,94.4,,,,,,,,18.41,18.41,69.0,4.36,33.02,95.53,KHM_8
7.62,0.0,2000,9,KHM,0.324396455970229,6.07,2.66,64.6,,6.0,45.82,65.51,32.46,,9.41,,,,,,,,7.62,7.62,26.9,2.44,4.03,2.73,KHM_9
33.83,0.0,2000,10,KHM,0.465601230889635,17.57,2.77,62.68,,7.24,30.87,49.61,51.6,,19.65,,,,,,,,33.83,33.83,20.42,2.82,18.43,15.24,KHM_10
31.24,0.0,2000,11,KHM,0.635569684404388,16.18,2.31,51.56,,6.23,40.3,46.78,68.49,,29.4,,,,,,,,31.24,31.24,20.42,2.9,9.37,12.26,KHM_11
15.41,0.0,2000,12,KHM,-0.0141319950307895,4.73,3.24,63.17,,15.24,55.07,40.03,37.83,,11.56,,,,,,,,15.41,15.41,26.9,2.42,5.98,7.11,KHM_12
15.24,0.0,2000,13,KHM,0.195493413007619,4.67,3.81,75.98,,6.71,69.24,77.46,36.66,,18.64,,,,,,,,15.24,15.24,26.9,2.26,12.5,4.99,KHM_13
35.26,0.0,2000,14,KHM,0.480046691833258,30.26,2.41,47.4,,6.0,13.56,22.89,92.58,,40.97,,,,,,,,35.26,35.26,20.42,3.75,9.11,13.58,KHM_14
14.86,0.0,2000,15,KHM,0.484739766228933,22.16,3.93,73.82,,11.36,56.89,63.18,30.74,,50.5,,,,,,,,14.86,14.86,26.9,4.12,23.71,24.61,KHM_15
15.19,0.0,2000,16,KHM,0.365717012809222,30.52,3.47,64.94,,13.79,50.54,51.13,43.83,,39.79,,,,,,,,15.19,15.19,20.42,2.87,13.98,22.78,KHM_16
14.42,0.0,2000,18,KHM,0.388267242163797,23.71,2.4,56.99,,4.52,11.86,5.36,56.9,,15.1,,,,,,,,14.42,14.42,20.42,4.09,22.3,11.21,KHM_18
9.49,0.0,2000,19,KHM,0.347974821883781,24.21,1.18,24.89,,8.38,12.55,15.68,44.13,,14.5,,,,,,,,9.49,9.49,20.42,4.27,18.3,20.7,KHM_19
11.19,0.0833333333333333,2005,1,KHM,-0.316497702924301,18.78,3.37,64.8,,2.9,42.19,61.89,82.86,48.05,62.49,,,34.65,16.43,,,,12.88,11.19,30.29,2.92,6.61,20.63,KHM_1
11.25,0.0833333333333333,2005,2,KHM,-0.171255094150105,2.59,3.62,66.83,,4.66,38.02,61.49,38.14,69.1,45.24,,,80.21,26.64,,,,11.84,11.25,34.94,2.38,6.46,14.78,KHM_2
6.16,0.0833333333333333,2005,3,KHM,-0.0378211287605723,9.98,4.12,72.53,,14.44,70.36,71.22,77.27,49.22,36.1,,,81.35,12.0,,,,7.42,6.16,32.46,2.32,8.72,7.58,KHM_3
7.27,0.0,2005,4,KHM,-0.225018973665358,9.0,3.67,59.5,,8.8,52.81,67.67,82.97,39.62,34.79,,,72.97,13.28,,,,9.49,7.27,30.29,2.22,9.45,8.98,KHM_4
