dv,heat,year,region,country,rain,DM_urban_p,ED_educ_years_mean,ED_litt_p,EI_internet_week_p,EI_news_week_p,EI_radio_week_p,EI_tv_week_p,DP_decide_money_p,DP_earn_more_equal_p,WK_working_paid_p,DP_owns_house_p,DP_owns_land_p,DP_decide_health_p,DP_decide_large_purchase_p,DP_decide_visits_p,DP_decide_contraception_p,DP_decide_no_contraception_p,DV_phys_partner_12m_p,DV_phys_12m_p,WL_wealth_median,DM_age_diff_mean,DM_age_diff_10plus_p,EI_women_elec_p,region_id
16.73,0.0833333333333333,2012,2,CIV,-0.203168562981059,53.31,2.84,33.74,,5.87,16.27,49.99,94.64,2.52,75.26,18.22,15.58,9.58,7.69,,,,17.1,16.73,35.7,8.91,48.58,59.2,CIV_2
9.1,0.0833333333333333,2012,3,CIV,-0.345174028727893,15.18,2.42,28.25,,5.45,28.09,32.78,75.37,11.05,44.22,35.12,41.28,10.79,11.01,,,,9.96,9.1,20.85,8.58,45.88,42.96,CIV_3
10.02,0.0,2012,4,CIV,-0.238107967903984,44.45,3.75,42.37,,8.27,31.96,41.5,77.45,5.52,57.89,17.68,18.74,10.01,10.86,,,,13.34,10.02,37.07,8.82,36.75,66.74,CIV_4
23.06,0.0833333333333333,2012,6,CIV,0.041828249060825,25.89,2.44,31.2,,4.34,17.56,37.18,84.64,10.6,46.2,38.17,27.26,5.74,5.67,,,,24.46,23.06,21.9,9.71,47.97,35.97,CIV_6
17.89,0.166666666666667,2012,7,CIV,-0.0352523264171894,39.95,2.89,29.74,,7.31,21.82,36.21,35.29,10.27,44.49,39.48,35.95,5.6,4.15,,,,19.0,17.89,29.16,10.11,38.16,50.48,CIV_7
32.49,0.0,2012,9,CIV,-0.242311993843173,18.83,1.01,11.7,,1.17,10.69,18.27,72.48,6.23,36.09,39.01,29.57,10.81,11.84,,,,36.2,32.49,28.4,10.18,36.7,39.93,CIV_9
26.45,0.0,2004,1,CMR,-0.0988326293767794,92.48,8.0,90.96,,23.92,66.9,62.43,73.7,,76.64,,,30.12,18.52,71.16,,,42.63,26.45,37.28,8.09,32.94,88.13,CMR_1
25.86,0.0,2004,2,CMR,-0.243127686367903,30.2,1.58,21.71,,3.74,23.67,13.61,82.0,,35.85,,,9.21,7.27,56.13,,,29.9,25.86,9.66,11.69,46.09,19.04,CMR_2
33.6,0.0,2004,3,CMR,0.0169629545080288,43.33,6.88,87.77,,13.29,61.85,34.22,69.97,,47.63,,,21.95,16.95,70.26,,,43.0,33.6,20.02,7.54,22.54,56.5,CMR_3
21.02,0.0,2004,4,CMR,-0.150750490135627,51.27,6.62,80.39,,10.99,39.62,32.02,73.94,,43.05,,,16.61,13.45,54.96,,,29.0,21.02,18.84,9.79,28.7,53.61,CMR_4
